datetime,open,high,low,close,volume,oi,name,symbol,expiry,contract_type
2026-07-17 09:15:00,24343.4,24360.0,24320.6,24360.0,1170,461630,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:16:00,24360.0,24390.0,24360.0,24390.0,2535,462020,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:17:00,24390.0,24399.0,24390.0,24393.3,2145,462865,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:18:00,24393.3,24408.1,24393.3,24408.0,2210,463515,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:19:00,24408.0,24412.7,24405.4,24410.0,1105,464490,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:20:00,24410.0,24422.0,24406.7,24407.1,2015,464490,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:21:00,24407.1,24410.0,24403.2,24403.2,325,465400,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:22:00,24403.2,24408.2,24403.2,24408.2,2990,465335,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:23:00,24408.2,24409.0,24407.0,24409.0,520,467935,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:24:00,24409.0,24412.0,24407.0,24412.0,975,468130,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:25:00,24412.0,24420.1,24412.0,24420.0,1885,468845,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:26:00,24418.8,24421.8,24418.1,24418.1,975,470145,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:27:00,24418.1,24422.0,24417.0,24419.3,1235,469755,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
2026-07-17 09:28:00,24419.3,24420.1,24417.4,24420.1,780,469690,NIFTY,NIFTY25JAN18FUT,2026-09-29,FUT
