datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,vega,theta,rho,vanna,charm,vomma,speed,zomma,color,veta,ultima,dual_delta,dual_gamma
2026-07-22 09:01:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:10:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:15:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:16:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:18:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:20:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:22:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:23:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:24:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:26:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:28:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:30:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:32:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:34:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:36:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
