timestamp,price,volume,volume,tradingsymbol,instrument_type,expiry,strike,segment
2026-07-22 09:02:09.773,24048.55,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:09.876,24042.95,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:10.175,24043.8,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:10.476,24043.6,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:10.633,24043.2,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:10.924,24043.45,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:11.224,24043.8,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:11.376,24067.25,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:11.675,24065.65,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:11.974,24063.85,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:12.124,24062.1,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:12.424,24062.35,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:12.724,24061.75,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:12.876,24062.5,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:13.175,24062.9,0,0,NIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:57.878,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:57.985,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:58.285,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:58.585,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:58.735,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:59.035,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:59.335,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:59.485,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:59.785,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.085,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.235,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.535,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.836,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.985,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:01.285,57835.35,0,0,BANKNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.318,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.572,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.872,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:01.021,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:01.321,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:01.621,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:01.771,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:02.072,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:02.221,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:02.521,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:02.821,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:02.972,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:03.272,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:03.572,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:03.872,26531.65,0,0,FINNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:01:57.878,18368.93,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:00.085,18380.86,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:08.035,18371.59,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:15.985,18365.53,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:24.086,18368.68,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:32.035,18399.33,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:39.985,18401.92,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:48.085,18411.69,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:56.036,18410.13,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:03:04.135,18410.13,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:03:12.085,18409.77,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:03:20.035,18424.29,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:03:28.136,18421.73,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:03:36.086,18424.26,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:03:44.035,18422.51,0,0,MIDCPNIFTY,INDEX,,0.0,INDICES
2026-07-22 09:02:09.773,77564.75,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:09.876,77564.75,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:10.775,77564.75,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:11.823,77564.75,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:12.876,77564.75,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:13.926,77670.39,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:14.825,77670.39,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:15.876,77657.44,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:16.782,77657.44,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:17.824,77580.59,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:18.876,77580.59,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:19.775,77580.59,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:20.825,77580.25,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:21.875,77580.25,0,0,SENSEX,INDEX,,0.0,INDICES
2026-07-22 09:02:22.774,77580.25,0,0,SENSEX,INDEX,,0.0,INDICES
